vbo id	Sabrina's note: VBO names	OMIA breed_id	xref	OMIA breed_name	source	NCBITaxon_species_id	Xlookup NCBITaxon species name	DADIS Breed	DADIS Country	Other names, to be added	Notes (could be "A rdfs:comment" but unsure whether there is already a comment, so not adding at this point)
VBO:0005145	Norsk roedt fe-Norway	404	OMIA:404	Red and White Norwegian	https://omia.org	9913	cattle	Norsk roedt fe	Norway		
VBO:0008739	Nubian-United States of America	1	OMIA:1	Nubian	https://omia.org	9925	goat	Nubian	United States of America		
VBO:0014088	orjaÅ¡ki lisec [angleški lisec]-Slovenia	918	OMIA:918	Checkered Giant	https://omia.org	9986	rabbit	orjaÅ¡ki lisec [angleški lisec]	Slovenia		
VBO:0015839	Ossimi-Egypt	663	OMIA:663	Ausimi	https://omia.org	9940	sheep	Ossimi	Egypt		
VBO:0015839	Ossimi-Egypt	664	OMIA:664	Osimi	https://omia.org	9940	sheep	Ossimi	Egypt		
VBO:0009787	Pak Angora-Pakistan	1141	OMIA:1141	Pak angora	https://omia.org	9925	goat	Pak Angora	Pakistan		
VBO:0016066	Patanwadi-India	530	OMIA:530	Patanwadi	https://omia.org	9940	sheep	Patanwadi	India		
VBO:0015035	Pelibuey-Mexico	1121	OMIA:1121	Mexican Pelibuey	https://omia.org	9940	sheep	Pelibuey	Mexico		
VBO:0004147	Pezzata Rossa Italiana-Italy	934	OMIA:934	Pezzata Rossa	https://omia.org	9913	cattle	Pezzata Rossa Italiana	Italy		
VBO:0004478	Pitangueiras-Brazil	256	OMIA:256	Pitangueiras	https://omia.org	9913	cattle	Pitangueiras	Brazil		
VBO:0004751	Pohjoissuomenkarja-Finland	905	OMIA:905	Northern Finncattle	https://omia.org	9913	cattle	Pohjoissuomenkarja	Finland		
VBO:0003823	Polska czerwona (RP)-Poland	71	OMIA:71	Red Polish	https://omia.org	9913	cattle	Polska czerwona (RP)	Poland		
VBO:0003825	Polska czerwono-biala (ZR)-Poland	526	OMIA:526	Red Pied Lowland	https://omia.org	9913	cattle	Polska czerwono-biala (ZR)	Poland		
